0.000000000000000000e+00,4.900000000000000000e+01,7.500000000000000000e+01,4.400000000000000000e+01,5.100000000000000000e+01,4.000000000000000000e+01,3.200000000000000000e+01,2.400000000000000000e+01,8.000000000000000000e+01,0.000000000000000000e+00
6.983000000000000000e+03,0.000000000000000000e+00,1.820000000000000000e+02,6.600000000000000000e+01,6.200000000000000000e+01,5.700000000000000000e+01,4.800000000000000000e+01,4.700000000000000000e+01,7.400000000000000000e+01,1.000000000000000000e+01
5.265000000000000000e+03,1.132500000000000000e+04,0.000000000000000000e+00,3.400000000000000000e+01,3.300000000000000000e+01,2.500000000000000000e+01,2.500000000000000000e+01,2.200000000000000000e+01,3.100000000000000000e+01,4.000000000000000000e+00
5.319000000000000000e+03,9.364000000000000000e+03,1.031800000000000000e+04,0.000000000000000000e+00,1.069000000000000000e+03,3.800000000000000000e+02,9.300000000000000000e+01,4.600000000000000000e+01,1.920000000000000000e+02,4.700000000000000000e+01
4.528000000000000000e+03,7.566000000000000000e+03,8.647000000000000000e+03,8.810000000000000000e+03,0.000000000000000000e+00,2.442000000000000000e+03,1.249000000000000000e+03,1.890000000000000000e+02,3.480000000000000000e+02,4.400000000000000000e+02
4.485000000000000000e+03,6.887000000000000000e+03,7.701000000000000000e+03,8.592000000000000000e+03,7.330000000000000000e+03,0.000000000000000000e+00,5.580000000000000000e+02,1.270000000000000000e+02,4.270000000000000000e+02,3.570000000000000000e+02
3.924000000000000000e+03,5.436000000000000000e+03,6.461000000000000000e+03,7.387000000000000000e+03,7.012000000000000000e+03,8.537000000000000000e+03,0.000000000000000000e+00,2.800000000000000000e+02,1.450000000000000000e+03,8.520000000000000000e+02
2.563000000000000000e+03,2.822000000000000000e+03,3.313000000000000000e+03,3.513000000000000000e+03,3.928000000000000000e+03,4.180000000000000000e+03,4.488000000000000000e+03,0.000000000000000000e+00,3.491000000000000000e+03,1.067000000000000000e+03
2.589000000000000000e+03,4.505000000000000000e+03,4.402000000000000000e+03,4.065000000000000000e+03,3.920000000000000000e+03,3.449000000000000000e+03,2.322000000000000000e+03,4.290000000000000000e+02,0.000000000000000000e+00,1.397000000000000000e+03
6.698000000000000000e+03,9.226000000000000000e+03,9.414000000000000000e+03,9.952000000000000000e+03,1.160400000000000000e+04,1.090100000000000000e+04,1.180100000000000000e+04,6.580000000000000000e+03,8.254000000000000000e+03,0.000000000000000000e+00
