0.4426,100,5,0,True,0,0,()
0.462,100,5,0,True,0,1,()
0.496,100,5,0,True,0,2,()
0.4956,100,5,0,True,1,0,()
0.4914,100,5,0,True,1,1,()
0.531,100,5,0,True,1,2,()
0.4838,100,5,0,True,2,0,()
0.493,100,5,0,True,2,1,()
0.535,100,5,0,True,2,2,()
0.4288,100,5,0,False,0,0,()
0.4516,100,5,0,False,0,1,()
0.4748,100,5,0,False,0,2,()
0.468,100,5,0,False,1,0,()
0.4718,100,5,0,False,1,1,()
0.5076,100,5,0,False,1,2,()
0.4708,100,5,0,False,2,0,()
0.467,100,5,0,False,2,1,()
0.5104,100,5,0,False,2,2,()
0.4534,100,5,1,True,0,0,()
0.4582,100,5,1,True,0,1,()
0.4932,100,5,1,True,0,2,()
0.481,100,5,1,True,1,0,()
0.4862,100,5,1,True,1,1,()
0.51,100,5,1,True,1,2,()
0.4852,100,5,1,True,2,0,()
0.4924,100,5,1,True,2,1,()
0.5346,100,5,1,True,2,2,()
0.4542,100,5,1,False,0,0,()
0.454,100,5,1,False,0,1,()
0.4836,100,5,1,False,0,2,()
0.4794,100,5,1,False,1,0,()
0.4846,100,5,1,False,1,1,()
0.5104,100,5,1,False,1,2,()
0.4722,100,5,1,False,2,0,()
0.478,100,5,1,False,2,1,()
0.5226,100,5,1,False,2,2,()
0.4726,100,5,2,True,0,0,()
0.4636,100,5,2,True,0,1,()
0.4922,100,5,2,True,0,2,()
0.482,100,5,2,True,1,0,()
0.4798,100,5,2,True,1,1,()
0.5204,100,5,2,True,1,2,()
0.4732,100,5,2,True,2,0,()
0.4818,100,5,2,True,2,1,()
0.5268,100,5,2,True,2,2,()
0.4478,100,5,2,False,0,0,()
0.4532,100,5,2,False,0,1,()
0.503,100,5,2,False,0,2,()
0.4864,100,5,2,False,1,0,()
0.4734,100,5,2,False,1,1,()
0.514,100,5,2,False,1,2,()
0.4706,100,5,2,False,2,0,()
