Green,4,49.9665741,50.6513,51.3360259,,,,,,,,,,,,,,
Green,5,52.62973062,53.3023,53.97486938,,,,,,,,,,,,,,
Green,6,54.81667584,55.4734,56.13012416,,,,,,,,,,,,,,
Green,7,55.2660332,55.9076,56.5491668,,,,,,,,,,,,,,
Green,8,54.83385899,55.4696,56.10534101,,,,,,,,,,,,,,
Green,9,55.6377503,56.2365,56.8352497,,,,,,,,,,,,,,
Dark Blue,0,47.30567114,47.9251,48.54452886,,,,,,,,,,,,,,
Dark Blue,1,47.30997822,47.9924,48.67482178,,,,,,,,,,,,,,
Dark Blue,2,47.08498231,47.8255,48.56601769,,,,,,,,,,,,,,
Dark Blue,3,48.5402858,49.2848,50.0293142,,,,,,,,,,,,,,
Dark Blue,4,49.51834256,50.2582,50.99805744,,,,,,,,,,,,,,
Dark Blue,5,50.60463044,51.3731,52.14156956,,,,,,,,,,,,,,
Dark Blue,6,50.37731066,51.1386,51.89988934,,,,,,,,,,,,,,
Dark Blue,7,50.8168908,51.5376,52.2583092,,,,,,,,,,,,,,
Dark Blue,8,50.82567001,51.5603,52.29492999,,,,,,,,,,,,,,
Dark Blue,9,50.95190497,51.6881,52.42429503,,,,,,,,,,,,,,
Utility,0,44.10141331,44.8251,45.54878669,,,,,,,,,,,,,,
Utility,1,46.75993243,47.4593,48.15866757,,,,,,,,,,,,,,
Utility,2,48.57796958,49.2881,49.99823042,,,,,,,,,,,,,,
Utility,3,50.43356863,51.1718,51.91003137,,,,,,,,,,,,,,
Utility,4,50.27676449,51.0106,51.74443551,,,,,,,,,,,,,,
Utility,5,51.01065491,51.7635,52.51634509,,,,,,,,,,,,,,
Utility,6,50.64158163,51.3776,52.11361837,,,,,,,,,,,,,,
Utility,7,50.62189887,51.3546,52.08730113,,,,,,,,,,,,,,
Utility,8,50.58498035,51.2869,51.98881965,,,,,,,,,,,,,,
Utility,9,50.55579838,51.2696,51.98340162,,,,,,,,,,,,,,
Railroad,0,62.73940421,63.1031,63.46679579,,,,,,,,,,,,,,
Railroad,1,60.94425408,61.3586,61.77294592,,,,,,,,,,,,,,
Railroad,2,58.75018896,59.1908,59.63141104,,,,,,,,,,,,,,
Railroad,3,55.20303069,55.671,56.13896931,,,,,,,,,,,,,,
Railroad,4,50.82890922,51.3283,51.82769078,,,,,,,,,,,,,,
Railroad,5,46.62223311,47.1208,47.61936689,,,,,,,,,,,,,,
Railroad,6,43.10231296,43.6101,44.11788704,,,,,,,,,,,,,,
Railroad,7,40.08914406,40.5939,41.09865594,,,,,,,,,,,,,,
Railroad,8,38.70445006,39.2173,39.73014994,,,,,,,,,,,,,,
Railroad,9,37.92776097,38.4233,38.91883903,,,,,,,,,,,,,,
