10,50
15,55
20,48
25,53
30,53
35,59
40,56
45,58
50,48
55,53
60,59
65,59
70,46
75,47
80,64
85,61
90,57
95,50
100,56
105,55
110,55
115,56
120,49
125,50
130,57
135,51
140,44
145,56
150,47
155,52
160,47
165,51
170,46
175,55
180,58
185,43
190,62
195,46
200,43
205,53
210,50
215,51
220,51
225,56
230,48
235,50
240,41
245,55
250,57
255,52
260,41
265,53
270,47
275,40
280,50
285,49
290,52
295,41
300,57
305,48
310,41
315,39
320,49
325,49
330,57
335,48
340,50
345,43
350,48
355,45
360,50
365,45
370,46
375,41
380,41
385,46
390,54
395,43
400,58
405,51
410,43
415,51
420,42
425,42
430,48
435,54
440,46
445,42
450,45
455,45
460,51
465,44
470,40
475,42
480,45
485,48
490,42
495,46
