1,1000,1
2,101,5
1,216,2
2,75,3
2,287,2
2,181,1
1,69,3
2,97,4
2,152,4
2,1000,1
1,1000,1
1,1000,1
2,783,1
2,93,2
1,118,2
2,140,2
1,127,1
2,183,2
1,121,3
1,149,6
1,100,4
2,126,3
2,165,3
2,106,6
1,56,2
1,145,2
1,98,4
2,1000,1
1,56,3
2,179,3
2,109,3
1,127,1
1,123,3
2,90,2
1,130,2
1,96,2
1,215,2
1,234,4
2,148,2
1,36,2
2,98,3
1,50,3
2,118,4
2,196,1
2,139,3
1,133,4
2,92,2
1,164,2
1,67,3
2,122,3
2,320,2
2,131,2
1,87,5
1,99,4
2,116,2
2,130,3
1,189,4
1,1000,0
2,195,1
1,73,3
2,84,3
1,223,1
1,67,2
1,119,4
1,1000,0
2,1000,0
1,143,7
2,55,4
1,99,5
2,159,3
2,215,5
1,126,4
2,137,3
1,248,4
1,213,3
1,46,3
2,75,1
2,126,3
1,122,4
1,195,4
2,60,4
1,162,3
1,150,2
2,39,3
1,123,5
1,109,2
2,103,5
2,86,3
1,113,6
2,149,1
2,70,2
2,1000,0
2,102,2
2,60,2
2,194,4
1,185,3
1,97,3
1,78,2
2,79,2
1,133,5
2,199,3
2,103,5
2,142,4
1,1000,0
1,128,8
2,75,3
1,163,2
2,200,1
2,86,2
2,49,2
2,167,2
1,125,2
1,160,3
2,164,5
1,89,4
1,149,2
2,131,1
1,125,2
1,119,2
2,89,3
1,30,3
1,201,3
1,168,4
1,116,2
1,121,4
2,206,4
1,98,2
1,115,2
2,118,2
2,158,4
1,87,2
2,107,3
2,131,5
2,227,5
2,98,1
2,391,1
1,126,2
2,45,2
2,154,3
1,100,6
1,90,2
2,109,2
2,264,4
1,130,4
1,1000,1
2,381,1
1,227,3
2,78,4
1,146,3
2,150,3
1,298,2
2,199,1
1,81,4
1,107,3
1,111,3
2,49,1
2,476,0
1,174,4
1,61,3
2,156,3
2,560,2
2,79,2
1,126,4
1,171,4
2,138,4
1,123,5
1,94,3
1,465,5
1,168,1
1,179,1
1,84,3
2,328,2
1,401,1
1,187,2
1,225,4
2,209,1
1,104,3
1,87,2
1,99,2
1,134,5
2,158,2
1,204,4
2,140,5
2,195,1
2,203,3
2,199,2
2,134,1
1,159,4
1,190,2
2,78,2
1,95,5
1,100,3
1,211,3
1,381,4
2,61,2
2,149,3
1,252,2
1,228,2
1,83,4
2,150,4
2,70,3
2,129,4
1,159,2
1,156,2
2,81,2
1,87,4
2,92,4
2,109,2
2,105,1
1,849,1
2,236,4
2,94,4
2,1000,0
2,84,1
2,58,2
1,163,4
2,145,2
2,68,1
1,49,1
2,225,4
2,44,3
2,1000,2
1,127,2
1,155,4
1,117,5
2,134,3
2,207,4
2,59,3
1,108,2
1,108,4
1,358,1
1,889,4
1,69,3
2,138,3
1,96,3
2,68,4
1,144,5
1,107,4
2,135,4
2,159,3
1,206,3
1,182,4
2,241,1
1,101,4
1,110,4
1,67,4
2,130,1
1,107,4
2,99,1
2,102,3
2,165,3
2,143,1
2,50,2
1,112,4
2,120,5
1,100,2
2,380,2
2,159,1
1,100,4
2,253,2
1,169,3
1,179,2
2,107,2
2,106,3
1,295,2
1,146,3
1,87,3
2,126,4
2,1000,0
2,173,1
2,218,1
2,140,4
1,144,5
2,250,1
1,1000,0
2,89,3
1,74,4
1,64,4
1,144,2
2,1000,1
2,1000,0
1,287,1
1,116,2
1,136,3
1,113,3
2,178,2
1,103,4
2,169,3
2,121,3
2,114,4
1,93,4
1,225,2
1,181,3
2,104,4
2,194,5
2,83,3
1,162,2
1,174,5
1,96,3
1,92,5
2,116,4
1,131,4
2,83,4
1,141,4
2,88,2
1,85,1
1,281,1
2,97,4
1,276,2
2,134,2
1,71,2
2,90,4
1,1000,0
1,309,3
1,104,1
2,68,3
1,60,2
1,50,2
1,100,4
2,50,2
2,41,1
1,63,2
1,44,4
1,54,3
1,105,3
1,132,3
2,66,3
1,214,3
2,95,3
2,136,4
2,71,2
2,163,4
1,177,2
2,50,2
1,80,4
2,116,3
2,403,1
1,115,4
2,100,1
1,88,3
2,118,3
1,80,3
2,327,1
1,254,3
1,205,4
2,119,2
2,80,1
1,78,5
2,100,5
1,131,4
1,200,1
1,131,2
1,152,1
2,92,3
2,108,2
1,98,2
2,39,3
2,101,3
1,79,3
2,1000,1
2,91,4
2,70,2
1,94,6
1,105,4
1,68,1
2,113,5
2,81,4
2,168,2
1,115,3
2,85,2
2,54,2
2,159,2
2,113,2
2,165,3
2,111,3
1,135,3
1,96,6
1,366,4
1,106,4
1,125,4
1,132,5
1,94,3
1,135,2
2,139,4
2,117,4
1,78,5
1,251,3
2,109,4
2,90,1
1,118,3
1,32,1
2,100,3
1,234,1
2,133,5
1,60,2
1,108,5
1,83,1
1,90,4
2,81,2
2,82,3
1,210,1
2,116,5
2,129,3
2,72,1
1,115,5
1,211,3
1,1000,1
1,170,4
1,106,2
2,157,4
2,96,2
2,177,4
2,116,2
1,118,5
2,100,2
1,79,2
1,130,2
2,134,4
1,92,3
1,142,2
2,383,3
1,209,1
1,290,4
1,61,3
1,60,3
1,130,2
1,1000,4
1,64,2
1,140,4
2,80,2
1,121,2
2,116,4
1,1000,1
2,228,2
1,91,1
1,82,6
2,178,3
2,83,3
2,123,4
1,207,1
2,203,2
1,106,5
2,87,2
2,190,2
2,429,2
1,102,3
1,116,3
1,81,2
1,177,3
1,52,2
2,121,2
1,71,2
1,65,2
1,158,4
1,1000,0
2,45,2
2,87,4
2,141,2
1,1000,1
1,142,3
2,97,4
2,101,4
1,113,1
2,127,4
1,97,4
1,103,3
2,118,2
1,1000,0
2,162,4
2,95,2
2,175,3
2,1000,0
2,157,5
1,329,2
1,135,4
2,72,1
2,58,1
1,830,1
1,767,2
1,83,2
1,212,3
1,108,3
2,121,3
2,73,3
2,81,2
2,112,3
2,279,5
2,146,5
2,278,1
1,93,3
2,1000,0
2,66,3
1,1000,2
1,228,3
1,129,1
1,93,4
1,156,4
2,155,5
2,159,2
2,101,3
2,136,3
1,101,2
1,183,4
1,1000,0
1,101,1
2,119,1
1,72,2
2,60,2
1,120,3
2,103,2
2,76,2
2,81,3
2,69,1
1,201,3
1,71,3
2,86,4
1,170,2
2,132,5
1,104,4
1,80,4
1,153,2
1,110,4
1,102,2
1,111,4
2,148,3
2,118,2
1,43,5
2,53,4
2,143,2
1,102,5
2,124,4
2,73,4
1,67,3
2,170,1
2,91,2
2,77,4
1,138,3
1,109,2
2,77,2
2,81,2
1,203,1
1,75,5
2,320,1
2,222,3
2,140,2
2,66,4
2,173,2
1,325,1
1,111,6
1,116,2
2,207,5
1,100,4
2,136,3
1,33,2
1,163,3
1,211,3
1,91,4
1,90,1
1,287,3
2,123,4
2,232,1
2,78,4
2,121,3
1,133,1
2,110,4
2,91,2
1,144,4
1,119,4
2,54,2
1,148,4
1,48,1
1,95,5
2,184,3
1,89,3
1,174,1
2,174,2
2,92,3
2,131,5
2,1000,3
1,1000,1
1,101,3
2,52,1
1,220,6
1,99,3
2,49,1
